,COUNT(session),COUNT(transaction),NUM_UNIQUE(transaction.artist),NUM_UNIQUE(transaction.page),NUM_UNIQUE(transaction.song),MEAN(transaction.length),SUM(transaction.length),MAX(transaction.itemInSession),MAX(transaction.length),MIN(transaction.length),WEEKDAY(first_session_time),WEEKDAY(registrationDate),MEAN(session.COUNT(transaction)),MEAN(session.MAX(transaction.itemInSession)),MEAN(session.MAX(transaction.length)),MEAN(session.MEAN(transaction.length)),MEAN(session.MIN(transaction.length)),MEAN(session.NUM_UNIQUE(transaction.artist)),MEAN(session.NUM_UNIQUE(transaction.page)),MEAN(session.NUM_UNIQUE(transaction.song)),MEAN(session.SUM(transaction.length)),SUM(session.MAX(transaction.itemInSession)),SUM(session.MAX(transaction.length)),SUM(session.MEAN(transaction.length)),SUM(session.MIN(transaction.length)),SUM(session.NUM_UNIQUE(transaction.artist)),MAX(session.COUNT(transaction)),MAX(session.NUM_UNIQUE(transaction.artist)),MAX(session.NUM_UNIQUE(transaction.page)),MAX(session.NUM_UNIQUE(transaction.song)),MAX(session.SUM(transaction.length)),MIN(session.COUNT(transaction)),MIN(session.MAX(transaction.itemInSession)),MIN(session.MAX(transaction.length)),MIN(session.MEAN(transaction.length)),MIN(session.NUM_UNIQUE(transaction.artist)),MIN(session.NUM_UNIQUE(transaction.page)),MIN(session.NUM_UNIQUE(transaction.song)),MIN(session.SUM(transaction.length)),COUNT(transaction WHERE page = Thumbs Down),COUNT(transaction WHERE page = NextSong),COUNT(transaction WHERE page = Error),COUNT(transaction WHERE page = Submit Downgrade),COUNT(transaction WHERE page = Add Friend),COUNT(transaction WHERE page = Home),COUNT(transaction WHERE page = Help),COUNT(transaction WHERE page = About),COUNT(transaction WHERE page = Settings),COUNT(transaction WHERE page = Downgrade),COUNT(transaction WHERE page = Add to Playlist),COUNT(transaction WHERE page = Submit Upgrade),COUNT(transaction WHERE page = Cancellation Confirmation),COUNT(transaction WHERE page = Save Settings),COUNT(transaction WHERE page = Logout),COUNT(transaction WHERE page = Thumbs Up),COUNT(transaction WHERE page = Roll Advert),COUNT(transaction WHERE page = Upgrade),is_cancel,gender_F,gender_M,MODE(session.userAgent)_Linux,MODE(session.userAgent)_Macintosh,MODE(session.userAgent)_Windows,MODE(session.userAgent)_iPad,MODE(session.userAgent)_iPhone,MODE(transaction.page)_About,MODE(transaction.page)_Add Friend,MODE(transaction.page)_Add to Playlist,MODE(transaction.page)_Cancel,MODE(transaction.page)_Help,MODE(transaction.page)_Home,MODE(transaction.page)_Logout,MODE(transaction.page)_NextSong,MODE(transaction.page)_Settings,MODE(session.MODE(transaction.page))_About,MODE(session.MODE(transaction.page))_Add Friend,MODE(session.MODE(transaction.page))_Add to Playlist,MODE(session.MODE(transaction.page))_Cancel,MODE(session.MODE(transaction.page))_Help,MODE(session.MODE(transaction.page))_Home,MODE(session.MODE(transaction.page))_Logout,MODE(session.MODE(transaction.page))_NextSong,MODE(session.MODE(transaction.page))_Settings,positive_transaction_count,negative_transaction_count,neutral_transaction_count
0,14,1020,659,16,781,198.44186156862762,202410.69880000016,237,734.37995,0.0,0,4,72.85714285714286,75.71428571428571,484.50567,190.21526888911558,0.0,58.57142857142857,6.714285714285714,59.857142857142854,14457.907057142857,1060,6783.07938,2663.013764447618,0.0,820,230,186,10,189,45938.14597999997,8,7,315.19302,162.7370745833333,7,3,7,1512.6960599999998,10.0,832.0,1.0,1.0,9.0,40.0,2.0,0.0,9.0,6.0,24.0,1.0,0.0,2.0,13.0,36.0,30.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,73.0,17.0,79.0
1,8,622,421,16,479,206.61068514469451,128511.84615999999,321,1670.45179,0.0,0,4,77.75,88.25,700.3717925,176.09257314874654,18.93871875,58.75,6.875,62.875,16063.98077,706,5602.97434,1408.7405851899723,151.50975,470,316,234,14,260,65864.13185,5,4,230.19057,72.60455400000001,3,1,3,363.02277000000004,7.0,512.0,2.0,0.0,9.0,22.0,3.0,1.0,5.0,7.0,16.0,1.0,0.0,3.0,7.0,19.0,4.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,48.0,16.0,32.0
2,2,151,118,9,120,212.60663079470197,32103.60125,332,655.77751,0.0,0,0,75.5,170.5,485.13261,200.7833746722028,0.0,59.5,6.0,60.5,16051.800625,341,970.26522,401.5667493444056,0.0,119,143,112,9,114,30603.1305,8,9,314.48771,187.55884375,7,3,7,1500.47075,1.0,124.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13.0,1.0,9.0
3,10,1507,924,15,1152,208.84470067020604,314728.9639100005,438,1400.2673,0.0,0,0,150.7,156.2,846.0168530000001,199.22106939760792,0.0,114.9,7.4,124.3,31472.896391,1562,8460.16853,1992.2106939760793,0.0,1149,431,320,12,360,93252.71723999997,5,4,342.7522,151.5339225,5,2,5,1043.87737,20.0,1259.0,3.0,1.0,11.0,51.0,4.0,2.0,9.0,14.0,28.0,0.0,0.0,1.0,19.0,75.0,10.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,114.0,37.0,72.0
4,6,1060,689,14,842,212.43222384905647,225178.15727999987,609,1670.45179,0.0,0,3,176.66666666666666,223.66666666666666,894.680365,201.31488704944047,0.0,133.5,7.5,146.16666666666666,37529.69287999999,1342,5368.08219,1207.8893222966428,0.0,801,592,423,12,477,126773.82026999992,11,12,273.26649,149.86182727272728,8,4,8,1648.4801000000002,5.0,903.0,2.0,0.0,16.0,35.0,2.0,1.0,6.0,12.0,22.0,0.0,0.0,1.0,9.0,45.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,83.0,19.0,43.0
5,4,273,198,12,207,192.32201296703283,52503.909539999964,141,655.77751,0.0,0,4,68.25,96.5,506.05669250000005,190.19665165810642,0.0,52.5,6.5,53.5,13125.977385,386,2024.2267700000002,760.7866066324257,0.0,210,138,101,10,104,26064.278469999994,7,55,246.12526,179.8377442857143,7,2,7,1258.8642100000002,1.0,214.0,0.0,0.0,6.0,13.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,1.0,5.0,6.0,15.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19.0,1.0,33.0
6,6,977,672,15,787,207.7403268270215,202962.29931,363,886.25587,0.0,0,3,162.83333333333334,164.16666666666666,674.6292050000001,206.70090919029394,0.0,131.16666666666666,8.166666666666666,137.83333333333334,33827.049885,985,4047.77523,1240.2054551417637,0.0,787,358,277,11,302,75708.17704000002,43,42,451.81342,196.44085717741925,33,5,33,8582.620120000001,8.0,834.0,0.0,0.0,12.0,27.0,3.0,2.0,4.0,7.0,23.0,1.0,0.0,1.0,8.0,40.0,6.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,76.0,15.0,39.0
7,14,795,517,18,595,194.27594148427656,154449.37347999986,273,997.77261,0.0,0,4,56.785714285714285,63.285714285714285,449.85613857142863,164.00237184417827,0.0,44.357142857142854,6.5,45.57142857142857,11032.098105714287,886,6297.9859400000005,2296.033205818496,0.0,621,270,205,13,217,54311.37169,1,2,0.0,0.0,1,1,1,0.0,9.0,629.0,1.0,0.0,16.0,34.0,5.0,2.0,6.0,4.0,20.0,1.0,1.0,1.0,9.0,25.0,26.0,5.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,66.0,15.0,68.0
8,3,129,99,10,103,189.63545852713182,24462.974150000005,107,655.77751,0.0,0,4,43.0,42.0,396.6166933333334,171.10646699311494,0.0,33.666666666666664,5.666666666666667,35.0,8154.324716666669,126,1189.8500800000002,513.3194009793448,0.0,101,108,85,10,87,21030.047500000004,8,7,237.11302,141.76619125,6,3,7,1134.12953,1.0,102.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,10.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.0,1.0,13.0
9,20,683,486,11,532,197.8730531771596,135147.29532,117,667.21914,0.0,0,3,34.15,33.75,448.1863449999999,183.98409443588773,9.0370385,28.2,4.4,28.55,6757.364765999999,675,8963.726899999998,3679.6818887177546,180.74077,564,116,102,9,102,24955.38273999999,1,0,0.0,0.0,1,1,1,0.0,6.0,553.0,0.0,0.0,5.0,26.0,1.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,7.0,26.0,37.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51.0,6.0,65.0
